timestamp,event_type,source,keyword,outcome,severity,description,control_ref,scan_id
"2026-03-02T18:29:34Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: September 11 attacks | History, Summary, Location ... - Britannica","AU-13","scan_20260302_182929_80227"
"2026-03-02T18:29:34Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: NYPD heightens patrols across NYC after Iran attack - YouTube","AU-13","scan_20260302_182929_80227"
"2026-03-02T18:29:34Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: New York City residents gathered in Times Square on Saturday ...","AU-13","scan_20260302_182929_80227"
"2026-03-02T18:29:34Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: NYPD ramps up security after US and Israel attack Iran - PIX11","AU-13","scan_20260302_182929_80227"
"2026-03-02T18:29:35Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: New Yorkers protest against U.S. military attack on Iran - Facebook","AU-13","scan_20260302_182929_80227"
"2026-03-02T18:29:35Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: Protesters against attack on Iran march in New York City - NBC News","AU-13","scan_20260302_182929_80227"
"2026-03-02T18:29:35Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: New Yorkers protest against U.S. military attack on Iran - Xinhua","AU-13","scan_20260302_182929_80227"
"2026-03-02T18:29:35Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: Austin bar shooting investigated as possible terrorism","AU-13","scan_20260302_182929_80227"
"2026-03-02T18:29:35Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: Iran sleeper cell fears rise after Austin shooting, Canada gym attack","AU-13","scan_20260302_182929_80227"
"2026-03-02T18:29:35Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: Maps: Where the U.S.-Led Strikes Hit Iran and Tehran's Retaliation","AU-13","scan_20260302_182929_80227"
"2026-03-02T18:29:37Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: Mass Casualty Incidents - Police1","AU-13","scan_20260302_182929_80227"
"2026-03-02T18:29:37Z","SEARCH_WEB","tavily_search","New York City","found","low","Web result: AUSTIN MASS SHOOTING BREAKING NEWS | The FBI just ...","AU-13","scan_20260302_182929_80227"
